"Ativo","Nome","Código","Ativo Tot| < Mar 2001| personalizado| consolid:sim*","Imobil| < Mar 2001| personalizado| consolid:sim*","Lucro Liquido| < Mar 2001| personalizado| no exercício| consolid:sim*","PasCir| < Mar 2001| personalizado| consolid:sim*","PasNoCir| < Mar 2001| personalizado| consolid:sim*","Receita| < Mar 2001| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Mar 2001| personalizado| no exercício| consolid:sim*","DeprAmor| < Mar 2001| personalizado| no exercício| consolid:sim*","Depr e Amor| < Mar 2001| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Mar 2001| personalizado| consolid:sim*","DpInCP| < Mar 2001| personalizado| consolid:sim*","DivPag| < Mar 2001| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|31Mar01","Dividendos| < Mar 2001| personalizado| no exercício| consolid:sim*","Div Yld (fim)|31Mar01|1 tri","Divid por Ação|31Mar01|1 tri","Patrim Liq| < Mar 2001| personalizado| consolid:sim*","Valor Mercado|da empresa|31Mar01|personalizado","DesFin| < Mar 2001| personalizado| no exercício| consolid:sim*","LucOpe| < Mar 2001| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Mar 2001| personalizado| no exercício| consolid:sim*","EBIT| < Mar 2001| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Mar 2001| de 12 meses| consolid:sim*","EBIT/FinB| < Mar 2001| de 12 meses| consolid:sim*","Fechamento|31Mar01|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",146394442.02,0,115416.1291,555245.16162,0,0,"-","-","-","-",12034470.974,"-",49123000,"-","-","-",145839196.86,"-",0,140370.96783,-265145.16145,-265145.16145,-0.68802698145,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",105140974.25,77837261.337,-4080116.1315,271181113.06,5168770.9708,30345083.889,"-","-","-","-",873419.35536,"-",2250000,"-","-",0,-171208909.78,"-",6584958.0684,-3724509.6796,2704480.6468,2348874.1949,0.095800784351,-0.091683632644,"-"
"AESL3<XBSP>","AES Sul","AESL3",7252156875.3,4917513177.1,-344760455.04,968101132.83,6306253071.5,706231293.97,"-","-","-","-",29190922.598,"-",537163000,"-","-",4247.9012456,-22197329.045,"-",734664213.34,-509811758.37,182744283.98,178308561.4,-0.34913097126,0.30485465823,"-"
"TIET11<XBSP>","AES Tiete E","TIET11","-","-","-","-","-","-","-","-","-","-","-","-",100,"-","-","-","-","-","-","-","-","-","-","-","-"
"AFLT3<XBSP>","Afluente T","AFLT3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",141269.34202,0,0,261367.62274,134132.25814,0,"-","-","-","-",371.20322603,"-",1000,"-","-","-",-254230.53886,"-",0,0,0,0,"-",0,"-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",950757519.92,215235.484,18965677.431,14189945.169,0,673780.64556,"-","-","-","-",13435061.298,"-",75606000,"-",0.63418595311,0.038722480603,936567574.75,465890743.94,0,21074361.303,-3755703.228,19527161.302,15.211234177,-2136.3333333,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",853093639.22,124774.19362,16766532.268,12287138.717,24954.838724,355606.45182,"-","-","-","-",18856500.011,"-",84682000,"-",0.4126421534,0.024032473746,840781545.66,493640154.9,0,18606951.624,-3315874.1955,16885067.752,10.651177593,-2788.8333333,"-"
"ALSO3<XBSP>","Alianscsonae","ALSO3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
