"Ativo","Nome","Código","Ativo Tot| < Mar 2000| personalizado| consolid:sim*","Imobil| < Mar 2000| personalizado| consolid:sim*","Lucro Liquido| < Mar 2000| personalizado| no exercício| consolid:sim*","PasCir| < Mar 2000| personalizado| consolid:sim*","PasNoCir| < Mar 2000| personalizado| consolid:sim*","Receita| < Mar 2000| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Mar 2000| personalizado| no exercício| consolid:sim*","DeprAmor| < Mar 2000| personalizado| no exercício| consolid:sim*","Depr e Amor| < Mar 2000| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Mar 2000| personalizado| consolid:sim*","DpInCP| < Mar 2000| personalizado| consolid:sim*","DivPag| < Mar 2000| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|31Mar00","Dividendos| < Mar 2000| personalizado| no exercício| consolid:sim*","Div Yld (fim)|31Mar00|1 tri","Divid por Ação|31Mar00|1 tri","Patrim Liq| < Mar 2000| personalizado| consolid:sim*","Valor Mercado|da empresa|31Mar00|personalizado","DesFin| < Mar 2000| personalizado| no exercício| consolid:sim*","LucOpe| < Mar 2000| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Mar 2000| personalizado| no exercício| consolid:sim*","EBIT| < Mar 2000| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Mar 2000| de 12 meses| consolid:sim*","EBIT/FinB| < Mar 2000| de 12 meses| consolid:sim*","Fechamento|31Mar00|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",156120230.07,0,199995.52235,841960.06547,0,0,"-","-","-","-",13424276.52,"-",49123200,"-","-","-",155278270,"-",0,240379.77632,-329913.75583,-329913.75583,-0.41083917513,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",114372802.49,83162411.359,-10883793.845,246874193.88,12723214.769,30705712.471,"-","-","-","-",-139450.6838,"-",2250000,"-","-",0,-145224606.16,"-",8556295.5273,-10578330.442,-2420465.4402,-2725928.8428,0.34343763923,-0.33085038683,"-"
"AESL3<XBSP>","AES Sul","AESL3",6738612308.3,2736739591.1,-50537591.859,915749398.72,5035989184.5,641078035.2,"-","-","-","-",30552980.769,"-",537163000,"-","-","-",786873725.11,"-",231883245.38,-74377018.28,4246605.3471,2553275.6153,-0.32017301444,0.16103352926,"-"
"TIET11<XBSP>","AES Tiete E","TIET11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AFLT3<XBSP>","Afluente T","AFLT3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",30831.882137,0,0,158664.99587,142770.93817,0,"-","-","-","-",2848.7782547,"-",1000,"-","-","-",-270604.05191,"-",3.3202543761,0,0,0,"-",-33000,"-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",958052759.73,278901.3676,7649866.0826,12278300.683,0,723815.454,"-","-","-","-",35586486.404,"-",75606000,"-",3.7411152546,0.29314632138,945774459.04,599345180.96,29882.289385,8440086.6242,-2121642.5464,6444613.7441,9.8310810811,2748.3333333,7.8358003277
"RPAD3<XBSP>","Alfa Holding","RPAD3",862781380.66,136130.42942,6584064.4279,10309389.837,49803.815642,381829.25326,"-","-","-","-",41904930.481,"-",84682000,"-",3.8510896673,0.25573194642,852422187,563140275.75,19921.526257,7480533.1095,-1749774.0562,5146394.283,8.2605432452,3852.1666667,6.6405087523
"ALSO3<XBSP>","Alianscsonae","ALSO3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"APTI4<XBSP>","Aliperti","APTI4",342882669.42,144985547.84,-3107758.0961,32950204.429,60428629.646,23032604.607,"-","-","-","-",26711446.456,"-",185955000,"-","-",0,249503835.35,"-",3542711.4193,11793543.544,15382738.524,-461515.35828,16.752808989,0.50800681431,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",4904002432.5,2735667148.9,0,453211402.09,2838096996.4,0,"-","-","-","-",83494436.797,"-",348450000,"-","-","-",1612694034.1,"-",0,0,0,0,"-","-","-"
"AALR3<XBSP>","Alliar","AALR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALPA4<XBSP>","Alpargatas","ALPA4",1787259728.1,361535858.51,50872937.551,398407283.36,176189298.47,451876659.83,"-","-","-","-",285980149.93,"-",1863583000,"-",0,0,1212663146.3,742251709.49,8732269.0093,50630558.982,21136739.359,28388174.916,-17.443449048,1.0894835497,1.1574740693
"ALTR3<XBSP>","Altere Sec","ALTR3","-","-","-","-","-","-","-","-","-","-","-","-",2840000,"-","-","-","-","-","-","-","-","-","-","-","-"
"ALUP11<XBSP>","Alupar","ALUP11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ABEV3<XBSP>","Ambev S/A","ABEV3",17585667539,6049198009.9,415489992.12,5160614932.5,6228289210.7,2913516574.6,"-","-","-","-",101725953.57,"-",6907611000,"-",1.7693662721,0.035365971457,5944613317.3,27459080802,213439232.32,335299208.43,381088836.53,369856415.98,-0.64838634132,9.4399711496,1.9937056051
"AMBP3<XBSP>","Ambipar","AMBP3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CBEE3<XBSP>","Ampla Energ","CBEE3",8159754226.9,3690346530.2,98080314.271,1631669287.8,5597932276.9,832132112.51,"-","-","-","-",77498057.394,"-",1.54780746E12,"-",0,0,930152662.21,2723730780.5,134901935.3,94212217.923,221972286.06,187212543,-1.0350741481,0.42211646847,53.492656954
