"Ativo","Nome","Código","Ativo Tot| < Mar 2009| personalizado| consolid:sim*","Imobil| < Mar 2009| personalizado| consolid:sim*","Lucro Liquido| < Mar 2009| personalizado| no exercício| consolid:sim*","PasCir| < Mar 2009| personalizado| consolid:sim*","PasNoCir| < Mar 2009| personalizado| consolid:sim*","Receita| < Mar 2009| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Mar 2009| personalizado| no exercício| consolid:sim*","DeprAmor| < Mar 2009| personalizado| no exercício| consolid:sim*","Depr e Amor| < Mar 2009| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Mar 2009| personalizado| consolid:sim*","DpInCP| < Mar 2009| personalizado| consolid:sim*","DivPag| < Mar 2009| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|31Mar09","Dividendos| < Mar 2009| personalizado| no exercício| consolid:sim*","Div Yld (fim)|31Mar09|1 tri","Divid por Ação|31Mar09|1 tri","Patrim Liq| < Mar 2009| personalizado| consolid:sim*","Valor Mercado|da empresa|31Mar09|personalizado","DesFin| < Mar 2009| personalizado| no exercício| consolid:sim*","LucOpe| < Mar 2009| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Mar 2009| personalizado| no exercício| consolid:sim*","EBIT| < Mar 2009| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Mar 2009| de 12 meses| consolid:sim*","EBIT/FinB| < Mar 2009| de 12 meses| consolid:sim*","Fechamento|31Mar09|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",1198367.2169,0,-76375.452367,3636.9263032,70920.062913,0,"-",0,"-","-",121837.03115,0,134456000,"-","-","-",1123810.2277,"-",0,-76375.452367,-94560.083884,-94560.083884,-2.2978723404,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",305074470.63,94847401.061,4153369.8383,143109413.11,199203545.94,67666832.334,"-","-","-","-",32697785.929,"-",2250000,"-",0,0,-37238488.419,163252529.44,5546312.6124,6713765.9557,10350692.258,9914261.1026,-7.2453339882,2.5214084266,7.2556679749
"AESL3<XBSP>","AES Sul","AESL3",3971467150.8,1506505797.9,47587362.214,1181448235.7,1641333929.9,661045906.41,"-",47550992.951,"-","-",63598930.264,0,278483,"-","-",0,1148684985.1,"-",69661686.412,64009902.937,110771682.88,104947145.4,-1.6472907775,1.0461978139,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",32489615541,14328165793,325761307.44,7730686919.4,13621565566,3575720470.5,"-",293949113.07,"-","-",4563447826.7,-21821.557819,650000000,"-","-","-",6625024953.9,"-",317065416.65,1047112907.3,1214929779.3,1144673455.4,15.681786316,3.3840512554,"-"
"AFLT3<XBSP>","Afluente T","AFLT3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",17797.298865,0,-26309.524877,58.190820851,2498.5683703,0,"-",0,"-","-",17797.298865,0,831000,"-","-","-",15240.539673,"-",0,-26309.524877,-26309.524877,-26309.524877,"-","-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",1075551852.6,3636.9263032,23498180.845,3946065.039,0,209123.26243,"-",1818.4631516,"-","-",21436043.631,0,73646000,"-",1.4943490744,0.1181718444,1071605787.5,573161568.66,0,24254661.516,2280352.7921,23469085.435,36.765676568,-22280.000001,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",933657172.86,1818.4631516,20677744.497,3507815.4194,0,50916.968245,"-",1818.4631516,"-","-",18528321.052,0,84682000,"-",1.3330244265,0.074567349877,930149357.44,504345163.38,0,21436043.631,2345817.4656,20759575.339,35.625079567,-55967,"-"
"ALSO3<XBSP>","Alianscsonae","ALSO3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
