"Ativo","Nome","Código","Ativo Tot| < Dez 2007| personalizado| consolid:sim*","Imobil| < Dez 2007| personalizado| consolid:sim*","Lucro Liquido| < Dez 2007| personalizado| no exercício| consolid:sim*","PasCir| < Dez 2007| personalizado| consolid:sim*","PasNoCir| < Dez 2007| personalizado| consolid:sim*","Receita| < Dez 2007| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Dez 2007| personalizado| no exercício| consolid:sim*","DeprAmor| < Dez 2007| personalizado| no exercício| consolid:sim*","Depr e Amor| < Dez 2007| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Dez 2007| personalizado| consolid:sim*","DpInCP| < Dez 2007| personalizado| consolid:sim*","DivPag| < Dez 2007| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Dez07","Dividendos| < Dez 2007| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Dez07|1 tri","Divid por Ação|30Dez07|1 tri","Patrim Liq| < Dez 2007| personalizado| consolid:sim*","Valor Mercado|da empresa|30Dez07|personalizado","DesFin| < Dez 2007| personalizado| no exercício| consolid:sim*","LucOpe| < Dez 2007| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Dez 2007| personalizado| no exercício| consolid:sim*","EBIT| < Dez 2007| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Dez 2007| de 12 meses| consolid:sim*","EBIT/FinB| < Dez 2007| de 12 meses| consolid:sim*","Fechamento|30Dez07|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",1074254.6041,0,-109180.14125,85784.396698,81885.105939,0,0,"-",0,"-",1949.6453795,"-",81210000,0,"-","-",906585.10147,"-",0,-109180.14125,-161820.5665,-161820.5665,-3.0740740741,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",238219370.34,102278396.6,22417022.573,129017782.98,199437024.45,326996472.7,18753638.905,18753638.905,18753638.905,"-",20089145.99,0,2250000,0,0,0,-90235437.099,329002657.79,19430165.852,24625970.788,42441830.266,44527950.822,-2.4993434012,2.291691752,14.622340346
"AESL3<XBSP>","AES Sul","AESL3",4054244674.5,1377822188.3,67631248.569,1198624432.5,1679447925.6,2555369004.6,195995900.36,"-",195995900.36,"-",118702209.28,"-",278483,64248613.836,"-",0,1176172316.3,"-",308874518.89,69364483.312,303052877.79,276841845.31,-1.1846623617,0.89629227526,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",34635838146,15405945716,-527924975.86,7402052892.5,16231343685,17055967644,"-","-","-","-",3988097106,"-",650000007,"-","-","-",6523618720.7,"-",1725588233.2,3422813025.4,4467602638.9,3213146211.7,-4.3920812502,1.8620584852,"-"
"AFLT3<XBSP>","Afluente T","AFLT3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",5248.4453616,0,-749281.86331,46.791489108,1461311.8524,0,0,"-",0,"-",1351.104248,"-",1000,0,"-","-",-1456110.1985,"-",4515.3786989,-749281.86331,-88122.021508,-744766.48461,164.93998273,-164.93998273,"-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",8668068767.2,10580725.474,150842113.37,5121406468.7,1980789014.8,39207368.582,3041446.792,"-",3041446.792,"-",2982479767.5,"-",73646000,13323876.523,0,0,1012813479.6,806759656.71,42595852.251,262500253.9,65699149.998,333785137.91,8.6079239781,7.836094837,11.697872277
"RPAD3<XBSP>","Alfa Holding","RPAD3",904588664.6,7798.581518,120840970.26,17845104.159,0,391878.72128,5848.9361385,"-",5848.9361385,"-",32430401.243,"-",84682000,13195199.928,0,0,886743560.44,723165078.44,0,128460184.41,-12181384.331,124044237.62,28.090066225,"-",9.0658510147
"ALSO3<XBSP>","Alianscsonae","ALSO3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
