	(1)	(2)	(3)	(4)	(5)	(6)
	Amostra_completa1	Amostra_completa2	Restritas1	Restritas2	Não_restritas1	Não_restritas2
VARIABLES	inv_at	inv_at	inv_at	inv_at	inv_at	inv_at
						
inv_atL1	-0.061**	-0.085**	-0.067**	-0.175***	-0.065**	-0.163***
	(0.0257)	(0.0391)	(0.0282)	(0.0397)	(0.0252)	(0.0578)
SQinv_atL1		0.032		0.184***		0.121*
		(0.0492)		(0.0573)		(0.0640)
ln_pu	-0.044***	-0.044***	-0.048**	-0.064***	-0.034*	-0.040***
	(0.0122)	(0.0117)	(0.0201)	(0.0231)	(0.0175)	(0.0150)
fc_at	0.682***	0.737***	1.472***	1.667***	0.757***	0.826***
	(0.1735)	(0.1827)	(0.2682)	(0.3136)	(0.2123)	(0.3108)
d_at	0.950***	0.943***	1.101***	1.093***	1.114***	1.067***
	(0.0929)	(0.0900)	(0.0674)	(0.0652)	(0.1150)	(0.1355)
cv	0.091***	0.085***	0.090*	0.007	0.116***	0.094**
	(0.0263)	(0.0266)	(0.0508)	(0.0270)	(0.0441)	(0.0375)
tam	-0.030	-0.032	-0.052	-0.077	0.105	0.034
	(0.0347)	(0.0330)	(0.1023)	(0.0614)	(0.0658)	(0.0424)
Constant	0.533	0.575	0.668	1.332	-3.249	-1.122
	(0.7967)	(0.7562)	(2.1522)	(1.2420)	(1.9897)	(1.0801)
						
Observations	1,475	1,475	723	723	752	752
Number of firm_id	239	239	170	170	151	151
ar1p	0.00145	0.00151	0.0133	0.00839	0.0138	0.0181
ar2p	0.103	0.103	0.976	0.668	0.286	0.217
hansenp	0.519	0.599	0.560	0.457	0.456	0.541
sarganp	0.000981	0.00274	0.223	0.197	0.107	0.0806
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
